ano,mes_numero,mes,data,categoria,subcategoria,indicador,indicador_completo,valor
2021,6,JUN,2021-06-01,EDUCAÇÃO,Ensino infantil,matriculados,Ensino infantil - matriculados,4.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,Ensino regular,aguardando vaga,Ensino regular - aguardando vaga,0.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,Ensino regular,matriculados,Ensino regular - matriculados,0.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,SCFV,"Outros: Reforço escolar, psicopedagoga, trabalho educativo","SCFV - Outros: Reforço escolar, psicopedagoga, trabalho educativo",0.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,SCFV,aguardando vaga,SCFV - aguardando vaga,0.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,SCFV,matriculados,SCFV - matriculados,0.0
2021,6,JUN,2021-06-01,PROFISSIONALIZAÇÃO,,Encaminhados para curso profissionalizante,Encaminhados para curso profissionalizante,0.0
2021,6,JUN,2021-06-01,PROFISSIONALIZAÇÃO,,Encaminhados para mercado de trabalho,Encaminhados para mercado de trabalho,0.0
2021,6,JUN,2021-06-01,PROFISSIONALIZAÇÃO,,Inseridos em curso profissionalizante,Inseridos em curso profissionalizante,0.0
2021,6,JUN,2021-06-01,PROFISSIONALIZAÇÃO,,Inseridos no mercado de trabalho,Inseridos no mercado de trabalho,0.0
2021,6,JUN,2021-06-01,SAÚDE,,Internações,Internações,0.0
2021,6,JUN,2021-06-01,SAÚDE,,Saúde clínica,Saúde clínica,14.0
2021,6,JUN,2021-06-01,SAÚDE,,Saúde mental,Saúde mental,17.0
2021,6,JUN,2021-06-01,,,Apadrinhamento afetivo,Apadrinhamento afetivo,0.0
2021,6,JUN,2021-06-01,,,Atendimento familiar,Atendimento familiar,28.0
2021,6,JUN,2021-06-01,,,Atendimentos individual,Atendimentos individual,61.0
2021,6,JUN,2021-06-01,,,Colocação em família substituta,Colocação em família substituta,0.0
2021,6,JUN,2021-06-01,,,Desligamentos,Desligamentos,1.0
2021,6,JUN,2021-06-01,,,Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),0.0
2021,6,JUN,2021-06-01,,,Efetivos na casa,Efetivos na casa,18.0
2021,6,JUN,2021-06-01,,,Evasão,Evasão,0.0
2021,6,JUN,2021-06-01,,,Interface com educação,Interface com educação,25.0
2021,6,JUN,2021-06-01,,,Interface com judiciário,Interface com judiciário,2.0
2021,6,JUN,2021-06-01,,,Interface com rede socioassistencial,Interface com rede socioassistencial,20.0
2021,6,JUN,2021-06-01,,,Interface com saúde,Interface com saúde,24.0
2021,6,JUN,2021-06-01,,,Novos ingressos,Novos ingressos,2.0
2021,6,JUN,2021-06-01,,,PIAs / Relatórios,PIAs / Relatórios,5.0
2021,6,JUN,2021-06-01,,,"Reunião de equipe (técnica, casa, coordenação, gerente)","Reunião de equipe (técnica, casa, coordenação, gerente)",5.0
2021,6,JUN,2021-06-01,,,Transferências,Transferências,1.0
2021,6,JUN,2021-06-01,,,Visitas Domiciliares,Visitas Domiciliares,1.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,Ensino EJA,aguardando vaga,Ensino EJA - aguardando vaga,0.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,Ensino EJA,matriculados,Ensino EJA - matriculados,0.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,Ensino infantil,aguardando vaga,Ensino infantil - aguardando vaga,6.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,Ensino infantil,matriculados,Ensino infantil - matriculados,6.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,Ensino regular,aguardando vaga,Ensino regular - aguardando vaga,0.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,Ensino regular,matriculados,Ensino regular - matriculados,0.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,SCFV,"Outros: Reforço escolar, psicopedagoga, trabalho educativo","SCFV - Outros: Reforço escolar, psicopedagoga, trabalho educativo",0.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,SCFV,aguardando vaga,SCFV - aguardando vaga,0.0
2021,7,JUL,2021-07-01,EDUCAÇÃO,SCFV,matriculados,SCFV - matriculados,0.0
2021,7,JUL,2021-07-01,PROFISSIONALIZAÇÃO,,Encaminhados para curso profissionalizante,Encaminhados para curso profissionalizante,0.0
2021,7,JUL,2021-07-01,PROFISSIONALIZAÇÃO,,Encaminhados para mercado de trabalho,Encaminhados para mercado de trabalho,0.0
2021,7,JUL,2021-07-01,PROFISSIONALIZAÇÃO,,Inseridos em curso profissionalizante,Inseridos em curso profissionalizante,0.0
2021,7,JUL,2021-07-01,PROFISSIONALIZAÇÃO,,Inseridos no mercado de trabalho,Inseridos no mercado de trabalho,0.0
2021,7,JUL,2021-07-01,SAÚDE,,Internações,Internações,0.0
2021,7,JUL,2021-07-01,SAÚDE,,Saúde clínica,Saúde clínica,13.0
2021,7,JUL,2021-07-01,SAÚDE,,Saúde mental,Saúde mental,9.0
2021,7,JUL,2021-07-01,,,Apadrinhamento afetivo,Apadrinhamento afetivo,0.0
2021,7,JUL,2021-07-01,,,Atendimento familiar,Atendimento familiar,23.0
2021,7,JUL,2021-07-01,,,Atendimentos individual,Atendimentos individual,48.0
2021,7,JUL,2021-07-01,,,Colocação em família substituta,Colocação em família substituta,0.0
2021,7,JUL,2021-07-01,,,Desligamentos,Desligamentos,0.0
2021,7,JUL,2021-07-01,,,Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),2.0
2021,7,JUL,2021-07-01,,,Efetivos na casa,Efetivos na casa,18.0
2021,7,JUL,2021-07-01,,,Evasão,Evasão,1.0
2021,7,JUL,2021-07-01,,,Interface com educação,Interface com educação,10.0
2021,7,JUL,2021-07-01,,,Interface com judiciário,Interface com judiciário,7.0
2021,7,JUL,2021-07-01,,,Interface com rede socioassistencial,Interface com rede socioassistencial,18.0
2021,7,JUL,2021-07-01,,,Interface com saúde,Interface com saúde,13.0
2021,7,JUL,2021-07-01,,,Novos ingressos,Novos ingressos,0.0
2021,7,JUL,2021-07-01,,,PIAs / Relatórios,PIAs / Relatórios,15.0
2021,7,JUL,2021-07-01,,,"Reunião de equipe (técnica, casa, coordenação, gerente)","Reunião de equipe (técnica, casa, coordenação, gerente)",3.0
2021,7,JUL,2021-07-01,,,Transferências,Transferências,0.0
